150	2445	180.00
95	2729	47.00
1137	31494	1 077
120	3847	1 020
4967	32947	2 334
_	_	
_	_	
_	_	
19	3875	19.00
60	555	60.00
_	_	
_	_	
_	_	
358	4147	338.00
_	_	
179	4148	39.00
_	_	
_	_	
_	_	
71	3743	95.00
_	_	
_	_	
_	_	
159	13221	159.00
_	_	
_	_	
210	3164	180.00
_	_	
1680	2326	1 590
_	_	
_	_	
199	4143	179.00
240	3101	240.00
60	1368	90.00
_	_	
3251	8273	179.00
_	_	
79	8272	59.00
_	_	
199	8272	119.00
_	_	
_	_	
79	8272	399.00
71	1983	646.00
_	_	
2134	32944	1 955
_	_	
259	32942	279.00
_	_	
_	_	
_	_	
120	2152	120.00
_	_	
139	24212	139.00
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
59	8267	59.00
_	_	
_	_	
_	_	
99	8258	59.00
_	_	
_	_	
_	_	
_	_	
817	4137	857.00
430	32928	95.00
_	_	
139	17852	119.00
_	_	
_	_	
99	4089	99.00
90	810	330.00
90	631	270.00
1170	1066	870.00
239	65718	219.00
90	5228	90.00
47	1051	47.00
71	1006	71.00
71	1000	95.00
259	8259	279.00
399	8259	379.00
_	_	
270	2955	300.00
_	_	
360	2733	270.00
_	_	
300	2966	1 020
_	_	
600	2639	270.00
_	_	
300	2735	300.00
_	_	
240	1942	210.00
71	1980	71.00
59	8259	59.00
215	65855	167.00
_	_	
159	8258	159.00
95	2005	71.00
239	4007	1 177
120	1969	2 550
19	1053	79.00
19	11037	19.00
698	8256	678.00
339	16473	319.00
0	1078	0.00
199	2999	139.00
99	2085	39.00
30	1897	30.00
180	1943	150.00
120	2024	120.00
870	5949	1 170
399	16482	678.00
263	8254	263.00
239	8253	239.00
79	2085	179.00
79	1053	39.00
0	0	0.00
150	4186	240.00
0	0	0.00
319	8264	379.00
450	3860	2 670
0	0	0.00
574	4139	622.00
60	991	60.00
0	1050	0.00
558	4144	758.00
59	4146	39.00
180	4119	90.00
199	2089	99.00
0	1034	0.00
0	1703	0.00
120	1949	120.00
150	1946	180.00
2280	1878	2 760
1939	8255	1 963
71	1992	167.00
95	1996	119.00
71	4135	71.00
240	3989	420.00
99	4147	119.00
60	555	870.00
60	1085	120.00
150	1930	90.00
1795	16490	1 855
0	0	0.00
47	4143	502.00
60	1043	60.00
360	1039	60.00
219	16498	299.00
0	0	0.00
39	3561	39.00
59	8080	1 715
0	0	0.00
71	4087	47.00
47	3794	47.00
120	1980	600.00
60	983	90.00
3000	2149	2 940
2730	1947	2 730
3060	2036	2 640
1140	8296	1 170
382	8094	502.00
0	532	0.00
120	4249	630.00
179	2078	379.00
79	2087	59.00
180	1959	1 530
99	4067	79.00
60	1026	90.00
120	1073	150.00
0	558	0.00
30	2759	5 610
60	1026	150.00
1975	16497	1 915
0	564	0.00
179	2082	39.00
30	2008	30.00
47	1000	47.00
2033	4145	2 193
383	4136	383.00
60	550	60.00
19	1056	19.00
259	30184	259.00
1292	4148	95.00
358	8260	95.00
478	4153	215.00
47	4078	71.00
60	1051	30.00
30	1046	30.00
99	2072	39.00
2314	4140	1 775
79	8140	1 476
90	1048	180.00
95	4140	95.00
399	8142	458.00
239	4144	259.00
39	2086	39.00
359	2086	199.00
1410	1890	1 380
60	1040	60.00
0	1075	30.00
0	1070	0.00
150	2005	180.00
8929	3789	9 073
90	1808	90.00
60	1881	60.00
60	2105	60.00
120	3829	180.00
2610	2096	2 490
0	1882	30.00
90	1996	180.00
71	1976	119.00
119	1979	167.00
215	10016	167.00
0	361	0.00
39	3111	79.00
120	4006	120.00
19	2081	19.00
239	4048	259.00
60	1797	60.00
660	2111	60.00
0	1893	0.00
0	1857	0.00
359	2082	47.00
90	2642	150.00
99	3872	99.00
19	1053	19.00
95	1991	71.00
23	535	47.00
390	963	60.00
210	1849	750.00
259	20344	558.00
2490	8487	2 580
90	3686	90.00
90	3897	90.00
359	4143	47.00
19	4126	59.00
120	989	90.00
95	997	47.00
60	1990	60.00
957	4054	99.00
90	2010	90.00
0	549	60.00
210	5247	150.00
0	211	0.00
518	7982	518.00
90	2051	90.00
60	1049	60.00
23	1002	71.00
95	534	95.00
71	1930	71.00
0	1380	0.00
0	502	0.00
167	8244	143.00
359	4160	458.00
678	4143	418.00
300	3693	270.00
143	2080	119.00
167	3476	215.00
39	4150	39.00
210	2720	210.00
90	1051	90.00
3360	4101	2 670
1715	2086	1 556
690	4090	270.00
618	8261	1 037
358	4147	219.00
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
_	_	
240	1972	240.00
90	1056	90.00
0	1046	0.00
30	1926	30.00
219	4142	498.00
0	0	0.00
0	0	0.00
0	0	0.00
0	0	0.00
0	0	0.00
0	0	0.00
23	2000	23.00
_	_	
_	_	
_	_	

